"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
com.github.pmonks/clj-spdx 1.0.278-SNAPSHOT,"Tue, 12 Aug 2025 03:20:15 GMT",commons-lang3-3.5.jar,/home/runner/.m2/repository/org/apache/commons/commons-lang3/3.5/commons-lang3-3.5.jar,"Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.",https://www.apache.org/licenses/LICENSE-2.0.txt,780b5a8b72eebe6d0dbff1c11b5658fa,6c6c702c89bfff3cd9e80b04d668c5e190d588c6,pkg:maven/org.apache.commons/commons-lang3@3.5,cpe:2.3:a:apache:commons_lang:3.5:*:*:*:*:*:*:*,CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L/E:3.9/RC:R/MAV:A,"","","",HIGH,138,"","","","","","","",""
com.github.pmonks/clj-spdx 1.0.278-SNAPSHOT,"Tue, 12 Aug 2025 03:20:15 GMT",gson-2.8.9.jar,/home/runner/.m2/repository/com/google/code/gson/gson/2.8.9/gson-2.8.9.jar,Gson JSON library,Apache-2.0: https://www.apache.org/licenses/LICENSE-2.0.txt,e67627f67e03301092dc7de0a2d7cef8,8a432c1d6825781e21a02db2e2c33c5fde2833b9,pkg:maven/com.google.code.gson/gson@2.8.9,cpe:2.3:a:google:gson:2.8.9:*:*:*:*:*:*:*,CVE-2025-53864,CWE-121 Stack-based Buffer Overflow,"github.com/sigstore/sigstore-java (gson) - Stack-based Buffer Overflow [CVE-2025-53864]  A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function).",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,"","","","","","",HIGH,28,"","","","","","","",""
com.github.pmonks/clj-spdx 1.0.278-SNAPSHOT,"Tue, 12 Aug 2025 03:20:15 GMT",spdx-java-model-2_X-1.0.0.jar,/home/runner/.m2/repository/org/spdx/spdx-java-model-2_X/1.0.0/spdx-java-model-2_X-1.0.0.jar,"SPDX model versions 2.0, 2.1, and 2.3","The Apache Software License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",b3513ecc9b3e8c4ba639a03dcd915f69,e9157d760e07087a5d155481ea2c0015294c6a88,pkg:maven/org.spdx/spdx-java-model-2_X@1.0.0,cpe:2.3:a:x.org:x.org:1.0.0:*:*:*:*:*:*:*,CVE-2006-0197,NVD-CWE-Other,"The XClientMessageEvent struct used in certain components of X.Org 6.8.2 and earlier, possibly including (1) the X server and (2) Xlib, uses a ""long"" specifier for elements of the l array, which results in inconsistent sizes in the struct on 32-bit versus 64-bit platforms, and might allow attackers to cause a denial of service (application crash) and possibly conduct other attacks.",NVD,MEDIUM,5.0,/AV:N/AC:L/Au:N/C:N/I:N/A:P,"","","","","","",HIGH,36,"","","","","","","",""
